Distance,SNR,TOF,Label
8.538925170898438, 19.679243087768555, 2130, 0
2.209876537322998, 17.59857940673828, 2207, 0
2.310617685317993, 19.54511260986328, 2358, 0
8.751567840576172, 17.619476318359375, 2621, 0
2.7052958011627197, 21.092016220092773, 2745, 0
2.80525541305542, 17.293672561645508, 2853, 0
2.705047845840454, 17.793479919433594, 2539, 0
2.3101208209991455, 21.011316299438477, 2315, 0
8.751567840576172, 15.737471580505371, 2036, 1
1.7104620933532715, 25.387989044189453, 1719, 1
1.6812214851379395, 23.375436782836914, 1488, 1
1.0994781255722046, 26.905654907226562, 1060, 1
0.8517665863037109, 26.63529396057129, 705, 1
0.5766222476959229, 33.86368942260742, 243, 1
0.6075276732444763, 37.16274642944336, 230, 1
0.46563562750816345, 31.55111312866211, 441, 1
1.1194268465042114, 32.257080078125, 968, 1
1.2419155836105347, 30.33523178100586, 1127, 1
1.2379519939422607, 35.2378044128418, 1082, 1
1.3440463542938232, 32.007171630859375, 1445, 1
1.9663538932800293, 18.946640014648438, 1800, 1
2.201235771179199, 23.010574340820312, 2144, 1
2.460127592086792, 22.821903228759766, 2362, 1
2.568721294403076, 19.092327117919922, 2379, 1
2.5752532482147217, 17.570045471191406, 2534, 1
2.328916549682617, 19.007301330566406, 2222, 1
8.519930839538574, 15.198145866394043, 2020, 0
1.6832023859024048, 26.271026611328125, 1784, 0
1.35138738155365, 25.23465347290039, 1418, 0
1.4786560535430908, 28.925365447998047, 1339, 0
1.3350727558135986, 30.501537322998047, 1224, 0
1.352346658706665, 32.3541145324707, 1104, 0
0.817813515663147, 31.78838348388672, 609, 1
1.067177653312683, 30.82046127319336, 376, 1
0.742798388004303, 32.59040451049805, 366, 1
0.71584552526474, 36.63077926635742, 362, 1
0.7462278604507446, 35.11470031738281, 390, 1
0.9633315205574036, 23.247652053833008, 656, 1
0.8709604144096375, 32.9951286315918, 961, 1
1.236326813697815, 25.686914443969727, 1414, 0
